Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.622500,7.660714,7.585000,7.643214,6.461978,493729600
2010-01-05,7.664286,7.699643,7.616071,7.656429,6.473151,601904800
2010-01-06,7.656429,7.686786,7.526786,7.534643,6.370184,552160000
2010-01-07,7.562500,7.571429,7.466071,7.520714,6.358410,477131200
2010-01-08,7.510714,7.571429,7.466429,7.570714,6.400681,447610800
2010-01-11,7.600000,7.607143,7.444643,7.503929,6.344216,462229600
2010-01-12,7.471071,7.491786,7.372143,7.418571,6.272051,594459600
2010-01-13,7.423929,7.533214,7.289286,7.523214,6.360522,605892000
2010-01-14,7.503929,7.516429,7.465000,7.479643,6.323685,432894000
2010-01-15,7.533214,7.557143,7.352500,7.354643,6.218004,594067600
2010-01-19,7.440357,7.685357,7.401429,7.680000,6.493077,730007600
2010-01-20,7.675357,7.698214,7.482143,7.561786,6.393133,612152800
2010-01-21,7.574286,7.618214,7.400357,7.431071,6.282620,608154400
2010-01-22,7.385000,7.410714,7.041429,7.062500,5.971010,881767600
2010-01-25,7.232500,7.310714,7.149643,7.252500,6.131645,1065699600
2010-01-26,7.355357,7.632500,7.235000,7.355000,6.218307,1867110000
2010-01-27,7.387500,7.520714,7.126071,7.424286,6.276882,1722568400
2010-01-28,7.318929,7.339286,7.096429,7.117500,6.017508,1173502400
2010-01-29,7.181429,7.221429,6.794643,6.859286,5.799201,1245952400
2010-02-01,6.870357,7.000000,6.832143,6.954643,5.879822,749876400
2010-02-02,6.996786,7.011429,6.906429,6.995000,5.913941,698342400
2010-02-03,6.970357,7.150000,6.943571,7.115357,6.015698,615328000
2010-02-04,7.026071,7.084643,6.841786,6.858929,5.798901,757652000
2010-02-05,6.879643,7.000000,6.816071,6.980714,5.901863,850306800
2010-02-08,6.988929,7.067143,6.928571,6.932857,5.861405,478270800
2010-02-09,7.015000,7.053571,6.955357,7.006786,5.923906,632886800
2010-02-10,6.996071,7.021429,6.937857,6.968571,5.891599,370361600
2010-02-11,6.960000,7.133929,6.930714,7.095357,5.998788,550345600
2010-02-12,7.075357,7.201429,6.982143,7.156429,6.050422,655468800
2010-02-16,7.212143,7.274643,7.197143,7.264286,6.141613,543737600
2010-02-17,7.292500,7.296786,7.173571,7.233929,6.115945,436396800
2010-02-18,7.201071,7.281786,7.175714,7.247500,6.127418,422825200
2010-02-19,7.209286,7.257143,7.182500,7.202500,6.089373,415469600
2010-02-22,7.226429,7.232143,7.113929,7.157857,6.051629,390563600
2010-02-23,7.142857,7.190357,6.989643,7.037857,5.950175,575094800
2010-02-24,7.079643,7.194286,7.065714,7.166429,6.058877,460566400
2010-02-25,7.049286,7.245000,7.031786,7.214286,6.099337,665126000
2010-02-26,7.227857,7.327500,7.214286,7.307857,6.178449,507460800
2010-03-01,7.348214,7.482143,7.337500,7.463929,6.310399,550093600
2010-03-02,7.497500,7.529643,7.419286,7.458929,6.306172,566546400
2010-03-03,7.462143,7.495357,7.426429,7.476071,6.320665,372052800
2010-03-04,7.474286,7.532857,7.451071,7.525357,6.362334,366041200
2010-03-05,7.676429,7.846429,7.665357,7.819643,6.611139,899620400
2010-03-08,7.857500,7.860357,7.794643,7.824286,6.615065,429889600
2010-03-09,7.796786,8.035714,7.781786,7.965000,6.734030,920259200
2010-03-10,7.993929,8.052857,7.971429,8.030000,6.788986,596218000
2010-03-11,7.996786,8.053571,7.975714,8.053571,6.808912,405700400
2010-03-12,8.120357,8.133214,8.062500,8.092857,6.842129,416323600
2010-03-15,8.049286,8.053571,7.866071,7.994286,6.758791,493502800
2010-03-16,8.006429,8.035000,7.946786,8.016071,6.777209,446908000
2010-03-17,8.032143,8.087500,7.973929,8.004286,6.767246,450956800
2010-03-18,8.003571,8.035714,7.950357,8.023214,6.783248,342109600
2010-03-19,8.028214,8.044286,7.901071,7.937500,6.710779,559445600
