Majors,Terms in Attendance
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
"Comparative Literature BA, Data Science BA (Subplan: Cognition)",7.0
Chemistry BS,7.0
Letters & Sci Undeclared UG,5.0
Materials Science & Eng BS,5.0
"Civil Engineering BS, Minor: Data Science UG",6.0
Mol Sci & Software Engin MMSSE (Subplan: Full-Time),G
Letters & Sci Undeclared UG,5.0
Data Science BA (Subplan: Business/Industrial Analytics),2.0
"Economics BA, Computer Science BA",5.0
Civil Engineering BS,8.0
"Economics BA, Minor: Data Science UG",7.0
Letters & Sci Undeclared UG,5.0
Data Science BA (Subplan: Economics),8.0
Chemical Engineering PhD,G
Data Science BA (Subplan: Business/Industrial Analytics),5.0
"Economics BA, Data Science BA (Subplan: Economics)",8.0
Economics BA,5.0
"Civil Engineering BS, Minor: Data Science UG",5.0
Letters & Sci Undeclared UG,3.0
Electrical Eng & Comp Sci BS,3.0
"Economics BA, Minor: Journalism UG, Minor: Public Policy UG, Minor: Data Science UG",7.0
Computer Science BA,7.0
Data Science BA (Subplan: Applied Mathematics & Modeling),3.0
"Civil & Env Eng Prof MS, Grad Cert Applied Data Science",G
"Electrical Eng & Comp Sci BS, Business Administration BS (Subplan: Mgmt, Entrepreneurship, Tech)",5.0
Letters & Sci Undeclared UG,5.0
"Molecular & Cell Biology BA (Subplan: Biochem, Biophys & Struc Bio 1)",5.0
"Cognitive Science BA, Minor: Data Science UG",5.0
"Molecular & Cell Biology BA (Subplan: Molecular Therapeutics 2), Data Science BA (Subplan: Molecular Biology & Genomics)",5.0
Molecular Environ Biology BS,5.0
Computer Science BA,7.0
Letters & Sci Undeclared UG,5.0
Civil Engineering BS,5.0
Bioengineering UCSF Joint PhD,G
Letters & Sci Undeclared UG,5.0
Development Engineering MDE,G
Letters & Sci Undeclared UG (Subplan: Applied HD Computer Science),3.0
"Statistics BA, Minor: Data Science UG",7.0
"Public Health BA, Data Science BA (Subplan: Human and Population Health)",5.0
Cognitive Science BA,5.0
"Bioengineering BS, Electrical Eng & Comp Sci BS",5.0
Cognitive Science BA,5.0
Eng Math & Statistics BS,3.0
Computer Science BA,5.0
Mol Sci & Software Engin MMSSE (Subplan: Part-Time),G
Industrial Eng & Ops Rsch BS,5.0
Applied Mathematics BA,3.0
Sociology BA,5.0
Electrical Eng & Comp Sci MEng,G
Mol Sci & Software Engin MMSSE (Subplan: Full-Time),G
Molecular Environ Biology BS,5.0
Environ Econ & Policy BS,7.0
Computer Science BA,5.0
English BA,5.0
Applied Mathematics BA,7.0
Letters & Sci Undeclared UG,5.0
Letters & Sci Undeclared UG,5.0
Data Science BA,5.0
Chemistry BS,5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
"Architecture BA (Subplan: Studio), Minor: Data Science UG",7.0
Electrical Eng & Comp Sci BS,6.0
"Conserv & Resource Stds BS, Minor: Data Science UG",6.0
"Computer Science BA, Minor: Data Science UG",5.0
Civil Engineering BS,5.0
Computer Science BA,5.0
Applied Mathematics BA,5.0
Electrical Eng & Comp Sci BS,7.0
Letters & Sci Undeclared UG,5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Computer Science BA,5.0
Environ Econ & Policy BS,5.0
Info Mgmt & Systems MIMS,G
Data Science BA (Subplan: Business/Industrial Analytics),5.0
Letters & Sci Undeclared UG,3.0
Computer Science BA,5.0
"Linguistics BA, Computer Science BA",5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Electrical Eng & Comp Sci BS,5.0
Data Science BA (Subplan: Organizations & the Economy),8.0
Letters & Sci Undeclared UG,6.0
Letters & Sci Undeclared UG,3.0
Cognitive Science BA,3.0
Info Mgmt & Systems MIMS,G
Statistics BA,3.0
"Civil Engineering BS, Minor: Data Science UG",5.0
Civil Engineering BS,5.0
Civil & Env Eng Prof MS,G
"Civil Engineering BS, Data Science BA (Subplan: Sustainable Dev & Engineering)",5.0
Data Science BA (Subplan: Business/Industrial Analytics),5.0
Public Affairs MPA,G
Data Science BA (Subplan: Data Arts & Humanities),5.0
Electrical Eng & Comp Sci BS,8.0
Letters & Sci Undeclared UG,3.0
Cognitive Science BA,5.0
Applied Mathematics BA (Subplan: Data Science),5.0
Letters & Sci Undeclared UG,5.0
Molecular & Cell Biology BA (Subplan: Molecular Therapeutics 2),5.0
"Computer Science BA, Minor: Data Science UG",5.0
Materials Science & Eng BS,3.0
Computer Science BA,5.0
Data Science BA (Subplan: Business/Industrial Analytics),5.0
Letters & Sci Undeclared UG,5.0
"Applied Mathematics BA, Minor: Data Science UG",7.0
Letters & Sci Undeclared UG,5.0
Data Science BA (Subplan: Cognition),5.0
"Civil Engineering BS, Minor: Data Science UG",5.0
Architecture MS (Subplan: Bldng Science & Sustainability),G
Electrical Eng & Comp Sci BS,8.0
Environ Econ & Policy BS,5.0
"Applied Mathematics BA (Subplan: Data Science), Statistics BA",7.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Cognitive Science BA,7.0
Data Science BA (Subplan: Economics),5.0
Letters & Sci Undeclared UG,3.0
Data Science BA (Subplan: Applied Mathematics & Modeling),5.0
Letters & Sci Undeclared UG,7.0
"Dance & Perf Studies BA, Cognitive Science BA",5.0
Data Science BA (Subplan: Organizations & the Economy),7.0
Letters & Sci Undeclared UG,3.0
Data Science BA (Subplan: Business/Industrial Analytics),7.0
Letters & Sci Undeclared UG,7.0
Letters & Sci Undeclared UG,5.0
"Cognitive Science BA, Minor: Data Science UG",7.0
Data Science BA (Subplan: Cognition),7.0
"Cognitive Science BA, Minor: Data Science UG",5.0
"Molecular & Cell Biology BA (Subplan: Cell Bio, Devlop, and Physio 2)",5.0
Data Science BA (Subplan: Applied Mathematics & Modeling),5.0
Letters & Sci Undeclared UG,3.0
Computer Science BA,5.0
Economics BA,5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Economics),3.0
Letters & Sci Undeclared UG,5.0
"Public Health BA, Data Science BA (Subplan: Human and Population Health)",5.0
Molecular & Cell Biology BA (Subplan: Molecular Therapeutics 2),7.0
Letters & Sci Undeclared UG,7.0
Data Science BA (Subplan: Ecology and the Environment),5.0
"Environ Econ & Policy BS, Data Science BA (Subplan: Economics)",7.0
"Integrative Biology BA (Subplan: Integrative Human Biology), Minor: Data Science UG",7.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Letters & Sci Undeclared UG,3.0
"English BA, French BA, Rhetoric BA, Minor: Journalism UG",8.0
"Environmental Sciences BS (Subplan: Biological Science), Minor: Chinese UG, Minor: Environ Econ & Policy UG",7.0
Data Science BA (Subplan: Business/Industrial Analytics),7.0
Letters & Sci Undeclared UG,7.0
Letters & Sci Undeclared UG,5.0
Computer Science BA,4.0
Conserv & Resource Stds BS,7.0
"Political Economy BA, Data Science BA (Subplan: Economics)",5.0
Letters & Sci Undeclared UG (Subplan: Applied HD Data Science),3.0
Letters & Sci Undeclared UG,5.0
Conserv & Resource Stds BS,3.0
"Environ Econ & Policy BS, Computer Science BA",5.0
Data Science BA (Subplan: Human and Population Health),5.0
Computer Science BA,5.0
Letters & Sci Undeclared UG,3.0
"Applied Mathematics BA (Subplan: Data Science), Data Science BA (Subplan: Social Policy and Law)",5.0
Letters & Sci Undeclared UG,3.0
Data Science BA (Subplan: Geospatial Info & Technology),7.0
Electrical Eng & Comp Sci BS,3.0
Economics BA,5.0
Letters & Sci Undeclared UG,5.0
Letters & Sci Undeclared UG,8.0
"Economics BA, Data Science BA (Subplan: Human Behavior & Psychology)",5.0
Computer Science BA,5.0
Letters & Sci Undeclared UG,3.0
Chemical Engineering BS,7.0
Business Administration BS,7.0
"Genetics & Plant Biology BS, Minor: Data Science UG",5.0
Industrial Eng & Ops Rsch BS,3.0
"Computer Science BA, Statistics BA",7.0
Cognitive Science BA,7.0
Letters & Sci Undeclared UG,5.0
Letters & Sci Undeclared UG,3.0
"Data Science BA (Subplan: Cognition), Computer Science BA",5.0
Applied Mathematics BA,6.0
Cognitive Science BA,3.0
Mol Sci & Software Engin MMSSE (Subplan: Full-Time),G
Letters & Sci Undeclared UG,5.0
"Economics BA, Minor: Data Science UG",7.0
"Cognitive Science BA, Data Science BA (Subplan: Cognition)",5.0
Letters & Sci Undeclared UG,5.0
